stid,ok,name,start_date,end_date,lat,lon,heigh,height2,type,disappear_time,remark,gjjhzh_194_remark,ybzh_2170_remark,,,,红色112
50851,黑龙江,青冈,198101,201012,46.68333333,126.0833333,207.4,209.2,,,,,一般站,,,,
50852,黑龙江,望奎,198101,201012,46.08333333,126.45,169.1,170.4,,,,,一般站,,,,
50853,黑龙江,绥化,195207,200012,46.61666667,126.9666667,179.6,181.2,基本站,,,,一般站,,,,
50854,黑龙江,安达,195207,201207,46.38333333,125.3166667,149.3,150.4,基本站,,,国际交换站,一般站,,,,
50858,黑龙江,肇东,198101,201012,46.06666667,125.9333333,135,136,,,,,一般站,,,,
50859,黑龙江,兰西,198101,201012,46.28333333,126.2833333,169.3,169.9,,,,,一般站,,,,
50861,黑龙江,庆安,198101,201012,46.88333333,127.4833333,182.4,183.2,,,,,一般站,,,,
50862,黑龙江,铁力,195712,200012,46.98333333,127.9833333,206,207,基本站,,,,一般站,,,,
50867,黑龙江,巴彦,198101,201012,46.08333333,127.35,134.1,134.8,,,,,一般站,,,,
50871,黑龙江,汤原,198101,201012,46.73333333,129.8833333,95.1,96.4,,,,,一般站,,,,
50873,黑龙江,佳木斯,195101,200012,46.78333333,130.3,82,83.1,基准站,,1987年改基准站,,一般站,,,,
50877,黑龙江,依兰,195901,200012,46.3,129.5833333,100.1,101.6,基本站,,,,一般站,,,,
50878,黑龙江,桦川,198101,201012,47,130.7166667,78.2,80.2,,,,,一般站,,,,
50879,黑龙江,桦南,198101,201012,46.21666667,130.55,187,190.7,,,,,一般站,,,,
50880,黑龙江,集贤,198101,201012,46.73333333,131.1166667,102.3,104.7,,,,,一般站,,,,
50884,黑龙江,双鸭山,198101,201012,46.63333333,131.15,175.3,178,,,,,一般站,,,,
50888,黑龙江,宝清,195611,200012,46.31666667,132.1833333,83,83.5,基本站,,,,一般站,,,,
50892,黑龙江,饶河,198101,201012,46.8,134,54.4,57.2,,,,,一般站,,,,
50913,内蒙古,乌拉盖,198101,201012,45.71666667,118.0833333,865,866.1,,,,,一般站,,,,
50915,内蒙古,东乌珠穆沁旗,195511,201207,45.51666667,116.9666667,838.7,838.9,基本站,,,国际交换站,一般站,,,,
50924,内蒙古,霍林郭勒,200601,201012,45.53333333,119.0666667,823.7,824.7,,,,,一般站,,,,
50928,内蒙古,巴雅尔吐胡硕,198101,201012,45.06666667,120.0333333,628.3,629.1,,,,,一般站,,,,
50934,内蒙古,突泉,198101,201012,45.38333333,121.5833333,311.7,312.7,,,,,一般站,,,,
50936,吉林,白城,195101,200012,45.63333333,122.0833333,155.3,156.2,基准站,,1993年改基准站,,一般站,,,,
50937,内蒙古,科尔沁右中旗,198101,201012,45.06666667,121.4833333,282.1,283.1,,,,,一般站,,,,
50939,吉林,洮南,198101,201012,45.03333333,122.8166667,150.8,154.9,,,,,一般站,,,,
50940,吉林,镇赉,198101,201012,45.85,123.0166667,141.1,142,,,,,一般站,,,,
50945,吉林,大安,198101,201012,45.05,124.2666667,137.6,138.7,,,,,一般站,,,,
50946,吉林,松原,198101,201012,45.18333333,124.0833333,139.8,140.7,,,,,一般站,,,,
50948,吉林,乾安,195701,200012,45,124.0166667,146.3,148,基本站,,,,一般站,,,,
50949,吉林,前郭尔罗斯,195210,201207,45.08333333,124.8666667,136.2,137.4,基本站,,,国际交换站,一般站,,,,
50950,黑龙江,肇州,198801,200012,45.7,125.25,148.7,150.2,基准站,,1988年改基准站,,一般站,,,,
50953,黑龙江,哈尔滨,195101,201207,45.93333333,126.5666667,118.3,117.7,基本站,,,国际交换站,一般站,,,,
50954,黑龙江,肇源,198101,201012,45.05,125.0833333,127.5,129.2,,,,,一般站,,,,
50956,黑龙江,呼兰,198112,201012,46.08333333,126.7666667,134.5,135.3,,,,,一般站,,,,
50958,黑龙江,阿城,198101,201012,45.53333333,126.9333333,168.2,166.6,,,,,一般站,,,,
50960,黑龙江,宾县,198101,201012,45.73333333,127.3833333,184.2,184.1,,,,,一般站,,,,
50962,黑龙江,木兰,198101,201012,45.95,128.0333333,112.1,113.5,,,,,一般站,,,,
50963,黑龙江,通河,195208,201207,45.96666667,128.7333333,108.6,110,基本站,,,国际交换站,一般站,,,,
50964,黑龙江,方正,198101,201012,45.08333333,128.8,119.3,123.2,,,,,一般站,,,,
50965,黑龙江,延寿,198101,201012,45.43333333,128.2666667,167.2,167.8,,,,,一般站,,,,
50968,黑龙江,尚志,195208,201207,45.21666667,127.9666667,189.7,191,基准站,,1992年改基准站,国际交换站,一般站,,,,
50971,黑龙江,七台河,200301,201012,45.76666667,131.0166667,223.5,226.7,,,,,一般站,,,,
50973,黑龙江,勃利,198101,201012,45.75,130.6,234.4,242.8,,,,,一般站,,,,
50978,黑龙江,鸡西,195101,201207,45.3,130.9166667,272.5,273.5,基准站,,1992年改基准站,国际交换站,一般站,,,,
50979,黑龙江,林口,198101,201012,45.26666667,130.2333333,274.7,276.9,,,,,一般站,,,,
50983,黑龙江,虎林,195612,200012,45.76666667,132.9666667,100.2,104.8,基本站,,,,一般站,,,,
50985,黑龙江,密山,198101,201012,45.55,131.8666667,151.7,155.5,,,,,一般站,,,,
50987,黑龙江,鸡东,198101,201012,45.26666667,131.1,219.9,224.6,,,,,一般站,,,,
51053,新疆,哈巴河,195711,200012,48.05,86.4,532.6,533.7,基本站,,,,一般站,,,,
51058,新疆,阿克达拉,198101,201012,47.1,87.96666667,563.3,564.3,,,,,一般站,,,,
51059,新疆,吉木乃,196008,200012,47.43333333,85.86666667,984.1,984.1,基本站,,,,,,,,
51060,新疆,布尔津,198101,201012,47.7,86.86666667,473.9,475.6,,,,,一般站,,,,
51068,新疆,福海,195711,200012,47.11666667,87.46666667,500.9,502.7,基本站,,缺199201,,一般站,,,,
51076,新疆,阿勒泰,195401,201207,47.73333333,88.08333333,735.3,736.5,基准站,,1991年改基准站,国际交换站,一般站,,,,
51087,新疆,富蕴,195510,201207,46.98333333,89.51666667,807.5,809.7,基本站,,,国际交换站,一般站,,,,
51133,新疆,塔城,195306,200012,46.73333333,83,534.9,536,基准站,,1992年改基准站,,一般站,,,,
51137,新疆,裕民,198101,201012,46.2,82.93333333,715.4,715.7,,,,,一般站,,,,
51145,新疆,额敏,198101,201012,46.55,83.65,521.6,523.6,,,,,一般站,,,,
51156,新疆,和布克赛尔,195307,201207,46.78333333,85.71666667,1291.6,1294.2,基本站,,,国际交换站,一般站,,,,
51186,新疆,青河,195710,200012,46.66666667,90.38333333,1218.2,1218.2,基本站,,,,,,,,
51232,新疆,阿拉山口,195607,200012,45.18333333,82.56666667,336.1,337.1,基本站,,,,一般站,,,,
